
Year,Make,Model,Cab,Short Bed,Standard Bed,Long Bed
2024,Ford,F-150,Regular Cab,,8 ft,
2024,Ford,F-150,SuperCab,6.5 ft,,8 ft
2024,Ford,F-150,Crew Cab,5.5 ft,6.5 ft,
2023,Chevrolet,Silverado 1500,Regular Cab,,8 ft,
2023,Chevrolet,Silverado 1500,Double Cab,6.6 ft,,8 ft
2023,Chevrolet,Silverado 1500,Crew Cab,5.8 ft,6.6 ft,
2024,Toyota,Tacoma,Double Cab,5 ft,6 ft,
2024,Ram,1500,Crew Cab,5.7 ft,6.4 ft,
